RACE,MMR,OMMR,WIN/LOSS
T,2243,2621,0
T,2214,2502,0
P,2083,2464,0
P,2180,2446,0
Z,2308,2438,0
P,2121,2429,0
P,2254,2410,0
Z,2299,2408,0
Z,2181,2385,0
P,2333,2380,0
T,2240,2377,0
P,2217,2373,0
P,2289,2371,0
Z,2186,2371,0
Z,2194,2366,1
T,2215,2362,0
T,2117,2358,0
P,2221,2348,0
P,2115,2344,0
T,2233,2342,0
P,2291,2341,1
T,2197,2339,0
P,2227,2333,0
P,2188,2333,0
P,2201,2332,1
T,2213,2321,0
T,2223,2319,0
P,2275,2316,0
Z,2228,2315,0
P,2321,2313,1
P,2221,2312,0
P,2305,2308,0
Z,2172,2306,0
Z,2120,2305,0
Z,2255,2302,0
P,2196,2302,0
Z,2244,2296,0
Z,2238,2296,0
Z,2158,2296,1
T,2286,2294,0
Z,2226,2294,0
P,2233,2293,0
Z,2262,2290,0
P,2212,2290,0
Z,2186,2290,1
P,2154,2289,1
Z,2093,2288,0
P,2226,2287,0
P,2210,2283,0
Z,2100,2281,0
T,2126,2276,0
T,2076,2275,0
P,2217,2274,0
Z,2109,2274,0
T,2150,2273,0
P,2224,2272,0
P,2192,2271,0
Z,2258,2269,0
Z,2187,2266,0
P,2272,2259,1
P,2226,2259,0
T,2229,2257,1
Z,2186,2256,0
P,2158,2255,0
Z,2211,2254,1
T,2161,2254,1
P,2086,2249,0
T,2163,2247,1
T,2309,2246,0
Z,2205,2246,1
T,2161,2245,0
P,2206,2242,1
Z,2200,2241,1
P,2171,2239,0
Z,2213,2238,0
P,2210,2237,1
T,2204,2237,0
T,2112,2237,0
Z,2251,2235,1
P,2335,2233,1
P,2150,2232,0
T,2255,2224,0
Z,2204,2222,0
P,2177,2222,0
Z,2245,2218,0
T,2290,2217,1
T,2200,2215,1
T,2195,2215,0
P,2077,2215,1
P,2120,2212,1
P,2069,2209,0
T,2224,2208,1
Z,2219,2208,0
Z,2135,2206,0
Z,2078,2206,0
Z,2180,2205,1
P,2137,2204,1
Z,2212,2200,1
P,2176,2200,0
Z,2228,2199,1
P,2203,2198,1
Z,2202,2198,0
T,2156,2197,1
Z,2214,2196,0
T,2114,2195,1
T,2188,2193,1
T,2177,2193,0
T,2139,2192,1
P,2078,2192,0
Z,2036,2192,1
P,2226,2191,0
Z,2219,2188,0
P,2208,2187,0
Z,2163,2187,0
Z,2016,2186,0
Z,2205,2184,1
P,2126,2184,1
Z,2186,2183,1
Z,2207,2182,0
T,2187,2181,0
T,2131,2181,0
T,2211,2180,0
Z,2215,2178,1
T,2160,2178,0
P,2209,2176,0
P,2203,2175,1
P,2200,2175,1
P,2196,2175,1
P,2097,2175,1
T,2184,2173,1
T,2206,2172,1
Z,2200,2172,1
Z,2167,2172,1
P,2200,2171,1
Z,2187,2171,0
Z,2213,2169,1
P,2196,2169,0
Z,2241,2168,1
T,2181,2167,0
Z,2172,2167,0
P,2221,2166,0
T,2214,2166,1
Z,2074,2166,0
Z,2171,2164,1
Z,2115,2164,1
T,2149,2160,0
P,2126,2160,0
Z,2107,2160,1
Z,2101,2158,0
P,2225,2156,0
Z,2217,2155,0
T,2200,2155,0
T,2195,2153,1
Z,2230,2151,1
P,2192,2151,1
P,2147,2151,1
Z,2160,2150,0
Z,2243,2149,1
T,2230,2148,0
T,2153,2147,0
Z,2171,2145,1
T,2207,2144,0
T,2117,2144,1
T,2174,2143,0
P,2163,2142,1
Z,2096,2142,1
Z,2249,2141,0
Z,2201,2141,1
P,2348,2138,1
P,2107,2137,1
P,2205,2136,0
Z,2135,2136,0
Z,2238,2134,1
Z,2105,2133,0
P,2052,2133,0
P,2144,2132,1
P,2261,2130,0
T,2177,2130,0
P,2150,2130,1
P,2120,2130,1
P,2229,2128,0
Z,2114,2128,1
Z,2162,2126,1
P,2357,2124,0
P,2188,2124,1
P,2223,2123,0
P,2110,2123,0
P,2147,2120,0
Z,2103,2119,0
T,2091,2119,0
T,2183,2117,1
P,2171,2116,1
P,2150,2114,0
P,2135,2113,0
P,2084,2113,0
Z,2203,2111,1
P,2188,2110,0
Z,2146,2109,1
Z,2128,2109,0
Z,2129,2108,0
Z,2105,2107,1
P,2098,2107,1
P,2045,2107,0
T,2190,2106,1
Z,2150,2106,1
P,2078,2104,1
P,2230,2103,0
T,2175,2103,0
Z,2119,2100,1
P,2080,2100,1
Z,2226,2098,1
Z,2098,2098,1
Z,2033,2097,0
Z,2030,2097,1
Z,2149,2095,0
P,2152,2093,1
T,2107,2093,0
P,2265,2091,1
P,2193,2089,1
T,2091,2088,0
P,2193,2087,1
Z,2148,2087,1
P,2128,2087,0
Z,2251,2086,1
P,2221,2086,1
P,2190,2083,1
P,2167,2083,1
P,2078,2083,0
Z,2113,2082,1
P,2161,2081,0
Z,2185,2080,0
P,2123,2080,1
T,2086,2080,1
Z,2126,2078,1
P,2034,2078,0
P,2167,2077,0
Z,2143,2076,0
Z,2123,2076,1
Z,2177,2075,1
P,2141,2075,1
P,2226,2073,0
Z,2163,2073,1
Z,2025,2072,1
P,2162,2071,0
P,2132,2071,0
P,2123,2071,0
P,2129,2070,1
T,2148,2068,0
Z,2120,2068,0
Z,2195,2063,1
T,2233,2061,1
P,2123,2061,1
P,2183,2060,1
P,2134,2059,0
P,2094,2057,0
T,2082,2057,1
Z,2078,2057,1
Z,2190,2055,1
Z,2130,2055,1
P,2103,2054,0
P,2057,2051,0
Z,2213,2050,1
T,2162,2050,1
P,2130,2047,1
T,2166,2043,1
Z,2178,2041,0
T,2095,2039,1
Z,2250,2036,1
P,2146,2036,1
Z,2151,2035,1
P,2161,2034,1
Z,2147,2034,0
P,2042,2034,0
P,2123,2029,0
Z,2173,2027,1
T,2172,2027,1
T,2167,2026,0
Z,2145,2023,1
P,2179,2021,1
P,2139,2021,1
P,2113,2021,0
Z,2079,2021,0
T,2204,2019,1
P,2100,2018,0
Z,2075,2015,0
P,2193,2013,0
P,2129,2013,1
T,2060,2013,0
T,2060,2007,0
P,2239,2005,1
P,2245,2004,1
P,2150,2002,0
Z,2252,1999,0
T,2050,1999,1
Z,2138,1998,1
Z,2117,1996,1
Z,2052,1996,0
Z,2040,1993,1
Z,2246,1990,1
Z,2026,1990,1
T,2163,1985,1
Z,2113,1985,0
Z,2212,1981,1
P,2027,1981,1
Z,2286,1979,1
T,2160,1974,1
Z,2056,1974,0
P,2214,1971,0
P,2151,1970,1
P,2141,1970,0
Z,2208,1968,1
P,2016,1967,1
T,2066,1966,1
P,2143,1962,0
Z,2020,1962,0
P,2203,1961,1
P,2257,1960,0
Z,2136,1960,0
P,2098,1960,1
P,2345,1957,1
P,2134,1957,1
P,2118,1955,1
Z,2121,1954,0
P,2088,1953,0
T,1999,1953,1
Z,2148,1952,1
T,2129,1951,1
Z,2120,1950,1
Z,2133,1948,1
T,2039,1941,1
T,2035,1931,0
P,2028,1931,1
P,2177,1926,1
P,2216,1923,1
P,2141,1922,1
T,2130,1922,1
Z,2168,1919,1
P,2119,1918,1
T,2140,1914,1
Z,2069,1912,1
Z,2113,1910,1
T,2108,1907,1
Z,2038,1900,0
T,2094,1888,1
Z,2196,1871,1
Z,2152,1863,1
Z,2097,1863,1
T,2221,1860,1
P,2139,1852,1
Z,2019,1846,0
P,2097,1843,1
P,2222,1841,1
T,2156,1821,1
T,2221,1816,1
P,2147,1808,1
P,2190,1801,1
P,2090,1801,1
P,2146,1795,1
P,2089,1779,1
Z,2092,1774,0
P,2213,1770,1
P,2062,1765,1
T,2135,1763,1
P,2132,1763,1
P,2016,1752,1
P,2080,1747,1
P,2108,1701,1
Z,2025,1643,1
Z,2130,1576,1
P,2136,1490,1